ID DO CLIENTE,GÊNERO,IDOSO,CASADO,DEPENDENTES,TEMPO_COMO_CLIENTE,SERVIÇO TELEFÔNICO,SERVICO_INTERNET,SERVICO_SEGURANCA,SUPORTE_TECNICO,STREAMINGTV,TIPO_CONTRATO,MÉTODO DE PAGAMENTO,PAGAMENTO_MENSAL,TOTAL_PAGAMENTO,CHURN
7590-VHVEG,fêmea,0,sim,não,1,não,dsl,não,não,não,mês a mês,cheque eletrônico,29.85,29.85,não
5575-GNVDE,macho,0,não,não,34,sim,dsl,sim,não,não,um ano,cheque enviado,56.95,1889.5,não
3668-QPYBK,macho,0,não,não,2,sim,dsl,sim,não,não,mês a mês,cheque enviado,53.85,108.15,sim
7795-CFOCW,macho,0,não,não,45,não,dsl,sim,sim,não,um ano,transferência bancária (automática),,1840.75,não
9237-HQITU,,0,não,não,2,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,151.65,sim
9305-CDSKC,,0,não,não,8,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,820.5,
1452-KIOVK,,0,não,sim,22,sim,fibra óptica,não,não,sim,mês a mês,cartão de crédito (automático),,1949.4,
6713-OKOMC,,0,não,não,10,não,dsl,sim,não,não,mês a mês,cheque enviado,,301.9,
7892-POOKP,,0,sim,não,28,sim,fibra óptica,não,sim,sim,mês a mês,cheque eletrônico,,3046.05,
6388-TABGU,,0,não,sim,62,sim,dsl,sim,não,não,um ano,transferência bancária (automática),,3487.95,
9763-GRSKD,,0,sim,sim,13,sim,dsl,sim,não,não,mês a mês,cheque enviado,,587.45,não
7469-LKBCI,,0,não,não,16,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cartão de crédito (automático),,326.8,não
8091-TTVAX,,0,sim,não,58,sim,fibra óptica,não,não,sim,um ano,cartão de crédito (automático),,5681.1,não
0280-XJGEX,,0,não,não,49,sim,fibra óptica,não,não,sim,mês a mês,transferência bancária (automática),,5036.3,sim
5129-JLPIS,,0,não,não,25,sim,fibra óptica,sim,sim,sim,mês a mês,cheque eletrônico,,2686.05,não
3655-SNQYZ,,0,sim,sim,69,sim,fibra óptica,sim,sim,sim,dois anos,cartão de crédito (automático),,7895.15,não
8191-XWSZG,f,0,não,não,52,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque enviado,,1022.95,não
9959-WOFKT,macho,0,não,sim,71,sim,fibra óptica,sim,não,sim,dois anos,transferência bancária (automática),,7382.25,não
4190-MFLUW,f,0,sim,sim,10,sim,dsl,não,sim,não,mês a mês,cartão de crédito (automático),,528.35,sim
4183-MYFRB,f,0,não,não,21,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,1862.9,não
8779-QRDMV,macho,1,não,não,1,não,dsl,não,não,não,mês a mês,cheque eletrônico,,39.65,sim
1680-VDCWW,macho,0,sim,não,12,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,transferência bancária (automática),,202.25,não
1066-JKSGK,macho,0,não,não,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,20.15,sim
3638-WEABW,fêmea,0,sim,não,58,sim,dsl,não,sim,não,dois anos,cartão de crédito (automático),,3505.1,não
6322-HRPFA,macho,0,sim,sim,49,sim,dsl,sim,sim,não,mês a mês,cartão de crédito (automático),,2970.3,não
6865-JZNKO,fêmea,0,não,não,30,sim,dsl,sim,não,não,mês a mês,transferência bancária (automática),,1530.6,não
6467-CHFZW,m,0,sim,sim,47,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,4749.15,sim
8665-UTDHZ,m,0,sim,sim,1,não,dsl,não,não,não,mês a mês,cheque eletrônico,,30.2,sim
5248-YGIJN,m,0,sim,não,72,sim,dsl,sim,sim,sim,dois anos,cartão de crédito (automático),,6369.45,não
8773-HHUOZ,fêmea,0,não,sim,17,sim,dsl,não,não,sim,mês a mês,cheque enviado,,1093.1,sim
3841-NFECX,fêmea,1,sim,não,71,sim,fibra óptica,sim,sim,não,dois anos,cartão de crédito (automático),,6766.95,não
4929-XIHVW,macho,1,sim,não,2,sim,fibra óptica,não,não,sim,mês a mês,cartão de crédito (automático),,181.65,não
6827-IEAUQ,fêmea,0,sim,sim,27,sim,dsl,sim,sim,não,um ano,cheque enviado,,1874.45,não
7310-EGVHZ,macho,0,não,não,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,transferência bancária (automática),,20.2,não
3413-BMNZE,macho,1,não,não,1,sim,dsl,não,não,não,mês a mês,transferência bancária (automática),,45.25,não
6234-RAAPL,fêmea,0,sim,sim,72,sim,fibra óptica,sim,sim,sim,dois anos,transferência bancária (automática),,7251.7,não
6047-YHPVI,macho,0,não,não,5,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,316.9,sim
6572-ADKRS,fêmea,0,não,não,46,sim,fibra óptica,não,não,não,mês a mês,cartão de crédito (automático),,3548.3,não
5380-WJKOV,macho,0,não,não,34,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,3549.25,sim
8168-UQWWF,fêmea,0,não,não,11,sim,fibra óptica,não,não,sim,mês a mês,transferência bancária (automática),,1105.4,sim
8865-TNMNX,macho,0,sim,sim,10,sim,dsl,não,não,não,um ano,cheque enviado,,475.7,não
9489-DEDVP,fêmea,0,sim,sim,70,sim,dsl,sim,não,sim,dois anos,cartão de crédito (automático),,4872.35,não
9867-JCZSP,fêmea,0,sim,sim,17,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque enviado,,418.25,não
4671-VJLCL,fêmea,0,não,não,63,sim,dsl,sim,sim,sim,dois anos,cartão de crédito (automático),,4861.45,não
4080-IIARD,fêmea,0,sim,não,13,sim,dsl,sim,sim,sim,mês a mês,cheque eletrônico,,981.45,não
3714-NTNFO,fêmea,0,não,não,49,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,3906.7,não
5948-UJZLF,m,0,não,não,2,sim,dsl,não,não,não,mês a mês,cheque enviado,,97.0,não
7760-OYPDY,f,0,não,não,2,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,144.15,sim
7639-LIAYI,macho,0,não,não,52,sim,dsl,sim,sim,sim,dois anos,cartão de crédito (automático),,4217.8,não
2954-PIBKO,fêmea,0,sim,sim,69,sim,dsl,sim,sim,não,dois anos,cartão de crédito (automático),,4254.1,não
8012-SOUDQ,fêmea,1,não,não,43,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,3838.75,não
9420-LOJKX,fêmea,0,não,não,15,sim,fibra óptica,sim,não,sim,mês a mês,cartão de crédito (automático),,1426.4,sim
6575-SUVOI,fêmea,1,sim,não,25,sim,dsl,sim,sim,sim,mês a mês,cartão de crédito (automático),,1752.65,não
7495-OOKFY,fêmea,1,sim,não,8,sim,fibra óptica,não,não,não,mês a mês,cartão de crédito (automático),,633.3,sim
4667-QONEA,fêmea,1,sim,sim,60,sim,dsl,sim,sim,não,um ano,cartão de crédito (automático),,4456.35,não
1658-BYGOY,macho,1,não,não,18,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,1752.55,sim
8769-KKTPH,f,0,sim,sim,63,sim,fibra óptica,sim,não,sim,um ano,cartão de crédito (automático),,6311.2,não
5067-XJQFU,macho,1,sim,sim,66,sim,fibra óptica,não,sim,sim,um ano,cheque eletrônico,,7076.35,não
3957-SQXML,fêmea,0,sim,sim,34,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cartão de crédito (automático),,894.3,não
5954-BDFSG,fêmea,0,não,não,72,sim,fibra óptica,não,sim,sim,dois anos,cartão de crédito (automático),,7853.7,não
0434-CSFON,fêmea,0,sim,não,47,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,4707.1,não
1215-FIGMP,macho,0,não,não,60,sim,fibra óptica,não,não,sim,mês a mês,transferência bancária (automática),,5450.7,não
0526-SXDJP,macho,0,sim,não,72,não,dsl,sim,não,não,dois anos,transferência bancária (automática),,2962.0,não
0557-ASKVU,fêmea,0,sim,sim,18,sim,dsl,não,sim,não,um ano,cartão de crédito (automático),,957.1,não
5698-BQJOH,fêmea,0,não,não,9,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,857.25,sim
5122-CYFXA,fêmea,0,não,não,3,sim,dsl,não,sim,sim,mês a mês,cheque eletrônico,,244.1,não
8627-ZYGSZ,macho,0,sim,não,47,sim,fibra óptica,não,não,não,um ano,cheque eletrônico,,3650.35,não
3410-YOQBQ,fêmea,0,não,não,31,sim,dsl,não,sim,sim,dois anos,cheque enviado,,2497.2,não
