ID DO CLIENTE,GÊNERO,IDOSO,CASADO,DEPENDENTES,TEMPO_COMO_CLIENTE,SERVIÇO TELEFÔNICO,SERVICO_INTERNET,SERVICO_SEGURANCA,SUPORTE_TECNICO,STREAMINGTV,TIPO_CONTRATO,MÉTODO DE PAGAMENTO,PAGAMENTO_MENSAL,TOTAL_PAGAMENTO,CHURN,GÊNERO_MAIOR_GRUPO,GÊNERO_MENOR_GRUPO,SERVIÇO TELEFÔNICO_MAIOR_GRUPO,SERVIÇO TELEFÔNICO_MENOR_GRUPO,PAGAMENTO_MENSAL_MEDIA,PAGAMENTO_MENSAL_MEDIANA,GÊNERO_CATCODES,CASADO_CATCODES,DEPENDENTES_CATCODES,SERVIÇO TELEFÔNICO_CATCODES,SERVICO_INTERNET_CATCODES,SERVICO_SEGURANCA_CATCODES,SUPORTE_TECNICO_CATCODES,STREAMINGTV_CATCODES,TIPO_CONTRATO_CATCODES,MÉTODO DE PAGAMENTO_CATCODES,CHURN_CATCODES,GÊNERO_MAIOR_GRUPO_CATCODES,GÊNERO_MENOR_GRUPO_CATCODES,SERVIÇO TELEFÔNICO_MAIOR_GRUPO_CATCODES,SERVIÇO TELEFÔNICO_MENOR_GRUPO_CATCODES
7590-VHVEG,fêmea,0,sim,não,1,não,dsl,não,não,não,mês a mês,cheque eletrônico,29.85,29.85,não,fêmea,fêmea,não,não,29.85,29.85,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
5575-GNVDE,macho,0,não,não,34,sim,dsl,sim,não,não,um ano,cheque enviado,56.95,1889.5,não,macho,macho,sim,sim,56.95,56.95,1,0,0,1,0,2,0,0,2,2,0,1,1,1,1
3668-QPYBK,macho,0,não,não,2,sim,dsl,sim,não,não,mês a mês,cheque enviado,53.85,108.15,sim,macho,macho,sim,sim,53.85,53.85,1,0,0,1,0,2,0,0,1,2,1,1,1,1,1
7795-CFOCW,macho,0,não,não,45,não,dsl,sim,sim,não,um ano,transferência bancária (automática),,1840.75,não,macho,macho,não,não,65.60756321839081,71.45,1,0,0,0,0,2,2,0,2,3,0,1,1,0,0
9237-HQITU,,0,não,não,2,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,151.65,sim,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,0,0,1,1,0,0,0,1,1,1,1,0,1,1
9305-CDSKC,,0,não,não,8,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,820.5,,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,0,0,1,1,0,0,2,1,1,-1,1,0,1,1
1452-KIOVK,,0,não,sim,22,sim,fibra óptica,não,não,sim,mês a mês,cartão de crédito (automático),,1949.4,,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,0,1,1,1,0,0,2,1,0,-1,1,0,1,1
6713-OKOMC,,0,não,não,10,não,dsl,sim,não,não,mês a mês,cheque enviado,,301.9,,macho,fêmea,não,não,65.60756321839081,71.45,-1,0,0,0,0,2,0,0,1,2,-1,1,0,0,0
7892-POOKP,,0,sim,não,28,sim,fibra óptica,não,sim,sim,mês a mês,cheque eletrônico,,3046.05,,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,1,0,1,1,0,2,2,1,1,-1,1,0,1,1
6388-TABGU,,0,não,sim,62,sim,dsl,sim,não,não,um ano,transferência bancária (automática),,3487.95,,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,0,1,1,0,2,0,0,2,3,-1,1,0,1,1
9763-GRSKD,,0,sim,sim,13,sim,dsl,sim,não,não,mês a mês,cheque enviado,,587.45,não,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,1,1,1,0,2,0,0,1,2,0,1,0,1,1
7469-LKBCI,,0,não,não,16,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,cartão de crédito (automático),,326.8,não,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,0,0,1,2,1,1,1,0,0,0,1,0,1,1
8091-TTVAX,,0,sim,não,58,sim,fibra óptica,não,não,sim,um ano,cartão de crédito (automático),,5681.1,não,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,1,0,1,1,0,0,2,2,0,0,1,0,1,1
0280-XJGEX,,0,não,não,49,sim,fibra óptica,não,não,sim,mês a mês,transferência bancária (automática),,5036.3,sim,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,0,0,1,1,0,0,2,1,3,1,1,0,1,1
5129-JLPIS,,0,não,não,25,sim,fibra óptica,sim,sim,sim,mês a mês,cheque eletrônico,,2686.05,não,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,0,0,1,1,2,2,2,1,1,0,1,0,1,1
3655-SNQYZ,,0,sim,sim,69,sim,fibra óptica,sim,sim,sim,dois anos,cartão de crédito (automático),,7895.15,não,macho,fêmea,sim,sim,65.60756321839081,71.45,-1,1,1,1,1,2,2,2,0,0,0,1,0,1,1
8191-XWSZG,fêmea,0,não,não,52,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,cheque enviado,,1022.95,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,2,1,1,1,2,2,0,0,0,1,1
9959-WOFKT,macho,0,não,sim,71,sim,fibra óptica,sim,não,sim,dois anos,transferência bancária (automática),,7382.25,não,macho,macho,sim,sim,65.60756321839081,71.45,1,0,1,1,1,2,0,2,0,3,0,1,1,1,1
4190-MFLUW,fêmea,0,sim,sim,10,sim,dsl,não,sim,não,mês a mês,cartão de crédito (automático),,528.35,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,1,1,0,0,2,0,1,0,1,0,0,1,1
4183-MYFRB,fêmea,0,não,não,21,sim,fibra óptica,não,não,não,mês a mês,cheque eletrônico,,1862.9,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
8779-QRDMV,macho,1,não,não,1,não,dsl,não,não,não,mês a mês,cheque eletrônico,,39.65,sim,macho,macho,não,não,65.60756321839081,71.45,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
1680-VDCWW,macho,0,sim,não,12,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,transferência bancária (automática),,202.25,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,0,1,2,1,1,1,2,3,0,1,1,1,1
1066-JKSGK,macho,0,não,não,1,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,mês a mês,cheque enviado,,20.15,sim,macho,macho,sim,sim,65.60756321839081,71.45,1,0,0,1,2,1,1,1,1,2,1,1,1,1,1
3638-WEABW,fêmea,0,sim,não,58,sim,dsl,não,sim,não,dois anos,cartão de crédito (automático),,3505.1,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1
6322-HRPFA,macho,0,sim,sim,49,sim,dsl,sim,sim,não,mês a mês,cartão de crédito (automático),,2970.3,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,0,2,2,0,1,0,0,1,1,1,1
6865-JZNKO,fêmea,0,não,não,30,sim,dsl,sim,não,não,mês a mês,transferência bancária (automática),,1530.6,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,0,1,0,2,0,0,1,3,0,0,0,1,1
6467-CHFZW,macho,0,sim,sim,47,sim,fibra óptica,não,não,sim,mês a mês,cheque eletrônico,,4749.15,sim,macho,macho,sim,sim,65.60756321839081,71.45,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1
8665-UTDHZ,macho,0,sim,sim,1,não,dsl,não,não,não,mês a mês,cheque eletrônico,,30.2,sim,macho,macho,não,não,65.60756321839081,71.45,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0
5248-YGIJN,macho,0,sim,não,72,sim,dsl,sim,sim,sim,dois anos,cartão de crédito (automático),,6369.45,não,macho,macho,sim,sim,65.60756321839081,71.45,1,1,0,1,0,2,2,2,0,0,0,1,1,1,1
8773-HHUOZ,fêmea,0,não,sim,17,sim,dsl,não,não,sim,mês a mês,cheque enviado,,1093.1,sim,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,0,1,1,0,0,0,2,1,2,1,0,0,1,1
3841-NFECX,fêmea,1,sim,não,71,sim,fibra óptica,sim,sim,não,dois anos,cartão de crédito (automático),,6766.95,não,fêmea,fêmea,sim,sim,65.60756321839081,71.45,0,1,0,1,1,2,2,0,0,0,0,0,0,1,1
