RENDA,NÚMERO DE CRIANÇAS,IDADE_MEDIA,EDUCAÇÃO_LE,IDADE_FAIXA_LE,GÊNERO_Macho,ESTADO CIVIL_Solteiro,PROPRIEDADE DE CASA_Controlado
57500.0,0,37.0,0,1,0,1,0
87500.0,0,44.0,4,2,1,1,1
60000.0,2,39.0,0,1,0,0,1
135000.0,0,37.0,0,1,1,0,1
65000.0,0,31.0,0,1,1,1,0
85000.0,1,37.0,2,1,0,0,1
67500.0,2,38.0,0,1,0,0,1
142500.0,0,40.0,1,1,1,1,1
90000.0,1,37.0,2,1,0,0,1
47500.0,0,26.0,3,0,0,1,0
87500.0,0,44.0,4,2,1,1,1
105000.0,2,30.0,4,0,1,0,1
77500.0,1,49.0,2,2,0,0,1
55000.0,1,26.0,0,0,0,0,1
115000.0,0,41.0,2,2,1,1,1
50000.0,0,37.0,1,1,1,1,0
105000.0,0,37.0,2,1,1,1,1
85000.0,1,37.0,2,1,0,0,1
37500.0,0,27.0,1,0,0,1,0
87500.0,0,37.0,4,1,1,1,1
95000.0,0,37.0,4,1,1,1,1
32500.0,0,28.0,3,0,0,1,0
67500.0,2,37.0,0,1,0,0,1
45000.0,0,26.0,3,0,0,1,0
60000.0,0,25.0,0,0,0,1,0
85000.0,2,36.0,4,1,0,0,1
70000.0,1,48.0,2,2,0,0,1
90000.0,1,35.0,2,1,0,0,1
27500.0,0,29.0,1,0,0,1,0
57500.0,0,32.0,3,1,1,1,0
62500.0,2,39.0,0,1,0,0,1
95000.0,2,36.0,4,1,0,0,1
95000.0,0,43.0,4,2,1,1,1
85000.0,1,35.0,2,1,0,0,1
112500.0,2,30.0,4,0,1,0,1
150000.0,0,50.0,4,2,1,0,1
62500.0,2,39.0,0,1,0,0,1
80000.0,2,37.0,4,1,0,0,1
130000.0,0,52.0,1,3,1,0,1
105000.0,0,42.0,4,2,1,1,1
110000.0,3,45.0,0,2,0,0,1
90000.0,1,35.0,2,1,0,0,1
95000.0,1,37.0,1,1,0,0,1
65000.0,0,31.0,0,1,1,1,0
47500.0,0,37.0,3,1,1,1,0
72500.0,2,37.0,0,1,0,0,1
50000.0,0,25.0,0,0,0,1,0
67500.0,2,38.0,0,1,0,0,1
97500.0,1,46.0,1,2,0,0,1
85000.0,0,32.0,4,1,1,1,0
105000.0,3,45.0,0,2,0,0,1
100000.0,0,37.0,4,1,1,1,1
90000.0,1,35.0,2,1,0,0,1
70000.0,2,37.0,0,1,0,0,1
37500.0,0,37.0,1,1,0,1,0
117500.0,2,30.0,4,0,1,0,1
102500.0,1,46.0,1,2,0,0,1
52500.0,0,33.0,1,1,1,1,0
85000.0,2,36.0,4,1,0,0,1
85000.0,1,37.0,2,1,0,0,1
162500.0,0,50.0,4,2,1,0,1
75000.0,0,44.0,4,2,1,1,1
125000.0,0,40.0,1,1,1,1,1
52500.0,0,33.0,1,1,1,1,0
57500.0,0,25.0,0,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
112500.0,2,30.0,4,0,1,0,1
27500.0,0,37.0,1,1,0,1,0
127500.0,0,53.0,3,3,1,0,1
57500.0,0,32.0,3,1,1,1,0
110000.0,0,41.0,2,2,1,1,1
95000.0,1,47.0,2,2,0,0,1
57500.0,0,37.0,3,1,1,1,0
92500.0,0,37.0,4,1,1,1,1
95000.0,0,31.0,2,1,1,1,0
37500.0,0,27.0,1,0,0,1,0
100000.0,3,45.0,0,2,0,0,1
95000.0,1,46.0,1,2,0,0,1
82500.0,1,48.0,2,2,0,0,1
90000.0,2,36.0,4,1,0,0,1
155000.0,0,50.0,4,2,1,0,1
27500.0,0,29.0,1,0,0,1,0
115000.0,3,45.0,0,2,0,0,1
80000.0,0,43.0,4,2,1,1,1
68000.0,2,29.0,2,0,0,0,1
122500.0,0,53.0,3,3,1,0,1
100000.0,0,42.0,4,2,1,1,1
50000.0,0,26.0,3,0,0,1,0
117500.0,2,30.0,4,0,1,0,1
77500.0,1,37.0,2,1,0,0,1
60000.0,0,31.0,0,1,1,1,0
160000.0,0,50.0,4,2,1,0,1
52500.0,0,33.0,1,1,1,1,0
82000.0,1,33.0,4,1,0,0,1
150000.0,0,51.0,0,3,1,0,1
77500.0,1,49.0,2,2,0,0,1
137500.0,0,52.0,1,3,1,0,1
62500.0,0,25.0,0,0,0,1,0
92500.0,0,43.0,4,2,1,1,1
87500.0,1,48.0,2,2,0,0,1
55000.0,0,25.0,0,0,0,1,0
47500.0,0,34.0,3,1,1,1,0
30000.0,0,37.0,3,1,0,1,0
32500.0,0,28.0,3,0,0,1,0
97500.0,1,47.0,2,2,0,0,1
55000.0,0,25.0,0,0,0,1,0
82500.0,1,48.0,2,2,0,0,1
105000.0,3,45.0,0,2,0,0,1
87500.0,0,44.0,4,2,1,1,1
47500.0,0,34.0,3,1,1,1,0
57500.0,0,25.0,0,0,0,1,0
47500.0,0,34.0,3,1,1,1,0
142500.0,0,40.0,1,1,1,1,1
130000.0,0,40.0,1,1,1,1,1
125000.0,0,37.0,1,1,1,0,1
92500.0,0,43.0,4,2,1,1,1
135000.0,0,52.0,1,3,1,0,1
115000.0,0,53.0,3,3,1,0,1
80000.0,1,35.0,2,1,0,0,1
25000.0,0,29.0,1,0,0,1,0
75000.0,0,28.0,0,0,1,1,0
90000.0,1,37.0,1,1,0,0,1
155000.0,0,50.0,4,2,1,0,1
30721.645118128374,0,34.40207757473785,3,0,0,1,0
27500.0,0,35.32140432424964,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
32868.49560743326,0,27.92630087851335,2,0,0,1,0
37500.0,0,27.0,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
37500.0,0,28.499614222102007,1,0,0,1,0
37500.0,0,32.50549325861797,1,0,0,1,0
27500.0,0,29.76328093192329,1,0,0,1,0
27500.0,0,31.966546017586133,1,0,0,1,0
34155.79373668196,0,27.668841252663608,2,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
37500.0,0,32.91297787707727,1,0,0,1,0
27500.0,0,31.197774343920514,1,0,0,1,0
29693.782870761494,0,28.5612434258477,1,0,0,1,0
37500.0,0,30.8292687475379,1,0,0,1,0
32641.439523054483,0,27.971712095389105,2,0,0,1,0
27122.284560665208,0,29.0,1,0,0,1,0
33891.352394175636,0,30.504434309516142,2,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
29359.82919309669,0,37.0,2,1,0,1,0
29898.916026153922,0,36.67653128369255,2,0,0,1,0
32500.0,0,28.0,3,0,0,1,0
27500.0,0,36.11287343350535,1,0,0,1,0
27500.0,0,32.51469201492616,1,0,0,1,0
36491.40398832302,0,27.201719202335397,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
35123.14888408944,0,27.47537022318211,1,0,0,1,0
27500.0,0,33.50620457581107,1,0,0,1,0
27500.0,0,31.43587130859098,1,0,0,1,0
32500.0,0,28.0,3,0,0,1,0
28488.95655180546,0,37.0,1,1,0,1,0
27500.0,0,29.0,1,0,0,1,0
27500.0,0,30.624489797878155,1,0,0,1,0
27642.866073605048,0,29.457171435536154,1,0,0,1,0
37500.0,0,32.98865466488536,1,0,0,1,0
37500.0,0,33.94784933039705,1,0,0,1,0
32500.0,0,28.0,3,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
27500.0,0,33.34772343613672,1,0,0,1,0
32500.0,0,28.0,3,0,0,1,0
37500.0,0,31.165099478703663,1,0,0,1,0
28083.59870540566,0,28.88328025891887,1,0,0,1,0
32500.0,0,28.0,3,0,0,1,0
32194.78011324832,0,29.09879159230606,3,0,0,1,0
27500.0,0,34.1496172953842,1,0,0,1,0
27732.928896135614,0,29.745372467633967,1,0,0,1,0
37500.0,0,34.27867750615365,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
25001.30094248829,0,29.0,1,0,0,1,0
27500.0,0,31.820550850673353,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
35075.85014320508,0,27.484829971358984,1,0,0,1,0
27500.0,0,31.460511736877837,1,0,0,1,0
27500.0,0,34.84470132961183,1,0,0,1,0
27500.0,0,30.953004177982194,1,0,0,1,0
29579.272394567673,0,35.65367166261655,2,0,0,1,0
29453.089451067324,0,37.0,2,1,0,1,0
31104.744994956647,0,33.02291801815607,3,0,0,1,0
27500.0,0,32.230689368464326,1,0,0,1,0
37500.0,0,27.0,1,0,0,1,0
29365.21146516414,0,37.0,2,1,0,1,0
27500.0,0,29.0,1,0,0,1,0
27500.0,0,34.57043418271831,1,0,0,1,0
27500.0,0,34.698164719395535,1,0,0,1,0
37500.0,0,27.0,1,0,0,1,0
27500.0,0,29.0,1,0,0,1,0
27500.0,0,31.13424811420228,1,0,0,1,0
37500.0,0,27.23385044167347,1,0,0,1,0
27500.0,0,33.71170389345415,1,0,0,1,0
60000.0,0,27.02486629387611,0,0,0,1,0
49220.72230977647,0,36.064866771731765,1,1,1,1,0
47500.0,0,35.56020406353343,3,1,1,1,0
55000.0,0,25.0,0,0,0,1,0
59537.86386118618,0,25.0,0,0,0,1,0
57500.0,0,31.78709239435191,2,0,0,1,0
57500.0,0,30.4259297635278,2,0,0,1,0
57500.0,0,36.697494707820944,0,1,0,1,0
57500.0,0,32.52586324786176,2,1,0,1,0
57500.0,0,32.0,3,1,1,1,0
57695.31441244221,0,31.921874235023118,2,1,1,1,0
57500.0,0,36.557537489740405,0,1,0,1,0
47500.0,0,36.412051412742564,3,1,1,1,0
57500.0,0,25.316591022373768,0,0,0,1,0
57500.0,0,35.373348346183676,0,1,0,1,0
47500.0,0,34.0,3,1,1,1,0
63178.37257943474,0,26.628094190643374,0,0,0,1,0
57928.15622712018,0,25.0,0,0,0,1,0
51608.116683266024,0,34.427013306774356,1,1,1,1,0
47500.0,0,34.0,3,1,1,1,0
61143.25979210438,0,25.0,0,0,0,1,0
57500.0,0,32.0,3,1,1,1,0
50000.0,0,34.824166788294434,1,0,0,1,0
62686.376609199426,0,25.447303862078623,0,0,0,1,0
57500.0,0,36.934434683002586,0,1,0,1,0
64430.611923241646,0,29.633468615779947,0,0,0,1,0
73012.84318465828,0,28.596147044602517,0,0,1,1,0
49986.194707190996,0,36.983433648629195,1,1,1,1,0
55000.0,0,25.815461428454835,0,0,0,0,0
55000.0,0,25.706857343847616,0,0,0,0,0
65812.97849587703,0,30.458014336081973,0,0,0,0,0
55000.0,0,25.771270346685945,0,0,0,0,0
50185.111629335224,0,26.518312562138632,2,0,0,1,0
52500.0,0,33.0,1,1,1,1,0
47500.0,0,34.0,3,1,1,1,0
57500.0,0,32.684482870622034,2,1,0,1,0
51558.2453170689,0,30.363086887792903,1,0,0,1,0
47500.0,0,28.647184198821193,3,0,0,1,0
59841.10412428494,0,25.0,0,0,0,1,0
57500.0,0,25.0,0,0,0,1,0
57500.0,0,27.27628325418723,0,0,0,1,0
46824.01544584516,0,31.83684942670451,3,0,0,1,0
65000.0,0,31.0,0,1,1,1,0
64718.031856440815,0,30.323276455457957,0,0,0,1,0
48819.462687095125,0,37.0,1,1,1,1,0
47500.0,0,26.956753967506415,3,0,0,1,0
58216.888031942515,0,31.713244787222994,2,1,1,1,0
57500.0,0,33.196074756915515,2,1,0,1,0
63903.19299392374,0,28.367663185416976,0,0,0,1,0
47500.0,0,34.0,3,1,1,1,0
57500.0,0,34.53102201817805,3,1,1,1,0
47500.0,0,30.181862635055953,3,0,0,1,0
66717.37694492436,1,29.8550820367171,1,0,0,0,0
52500.0,0,33.0,1,1,1,1,0
47500.0,0,34.323674280979915,3,1,1,1,0
74685.70814313265,0,28.094287557060202,0,0,1,1,0
50908.97397184055,0,35.54564164505512,1,1,1,1,0
49214.11004730919,0,26.0,3,0,0,1,0
