id_client,category,category_norm,price,card_type
37,Electronics,ELECTRONICS,72.93,mastercard
38,Jewelry,JEWELRY,121.89,mastercard
39,Baby,BABY,64.3,mastercard
40,Outdoors,OUTDOORS,9.48,mastercard
5,Outdoors,OUTDOORS,61.95,mastercard
6,Outdoors,OUTDOORS,15.96,mastercard
7,Beauty,BEAUTY,149.02,mastercard
8,Games,GAMES,97.38,mastercard
9,Outdoors,OUTDOORS,139.96,mastercard
10,Shoes,SHOES,55.45,mastercard
11,Jewelry,JEWELRY,96.16,mastercard
12,Computers,COMPUTERS,104.93,mastercard
13,Baby,BABY,92.52,mastercard
14,Grocery,GROCERY,108.42,mastercard
15,Shoes,SHOES,144.17,mastercard
16,Computers,COMPUTERS,5.45,mastercard
17,Sports,SPORTS,5.12,mastercard
18,Games,GAMES,29.3,mastercard
19,Toys,TOYS,9.34,mastercard
20,Music,MUSIC,94.53,mastercard
21,Computers,COMPUTERS,16.72,mastercard
22,Tools,TOOLS,32.56,mastercard
23,Beauty,BEAUTY,6.84,mastercard
24,Grocery,GROCERY,10.44,mastercard
25,Clothing,CLOTHING,85.65,mastercard
26,Industrial,INDUSTRIAL,133.3,mastercard
27,Baby,BABY,69.98,mastercard
28,Jewelry,JEWELRY,48.58,mastercard
29,Home,HOME,142.53,mastercard
30,Industrial,INDUSTRIAL,99.03,mastercard
31,Toys,TOYS,87.62,mastercard
32,Home,HOME,141.11,mastercard
33,Books,BOOKS,68.77,mastercard
34,Home,HOME,15.12,mastercard
35,Movies,MOVIES,96.45,mastercard
36,Health,HEALTH,123.38,mastercard
37,Home,HOME,58.77,mastercard
38,Clothing,CLOTHING,117.56,mastercard
39,Clothing,CLOTHING,134.15,mastercard
40,Jewelry,JEWELRY,53.63,mastercard
41,Books,BOOKS,82.78,mastercard
42,Movies,MOVIES,132.11,mastercard
43,Computers,COMPUTERS,59.74,mastercard
44,Automotive,AUTOMOTIVE,105.26,mastercard
45,Shoes,SHOES,53.56,mastercard
46,Tools,TOOLS,136.53,mastercard
47,Industrial,INDUSTRIAL,106.66,mastercard
48,Health,HEALTH,93.46,mastercard
49,Books,BOOKS,147.63,mastercard
50,Kids,KIDS,145.58,mastercard
51,Shoes,SHOES,81.44,mastercard
52,Health,HEALTH,64.7,mastercard
53,Beauty,BEAUTY,60.66,mastercard
54,Industrial,INDUSTRIAL,9.11,mastercard
55,Industrial,INDUSTRIAL,100.62,mastercard
56,Books,BOOKS,132.4,mastercard
57,Kids,KIDS,60.75,mastercard
58,Toys,TOYS,10.73,mastercard
59,Music,MUSIC,90.98,mastercard
60,Movies,MOVIES,95.97,mastercard
61,Kids,KIDS,54.04,mastercard
62,Grocery,GROCERY,97.0,mastercard
63,Beauty,BEAUTY,45.49,mastercard
64,Health,HEALTH,99.37,mastercard
65,Games,GAMES,26.75,mastercard
66,Shoes,SHOES,85.94,mastercard
67,Jewelry,JEWELRY,17.25,mastercard
68,Games,GAMES,49.82,mastercard
69,Toys,TOYS,88.43,mastercard
70,Tools,TOOLS,23.53,mastercard
71,Kids,KIDS,55.81,mastercard
72,Computers,COMPUTERS,96.65,mastercard
73,Outdoors,OUTDOORS,64.76,mastercard
74,Shoes,SHOES,61.25,mastercard
75,Movies,MOVIES,141.32,mastercard
76,Shoes,SHOES,98.09,mastercard
77,Home,HOME,95.54,mastercard
78,Health,HEALTH,53.12,mastercard
79,Computers,COMPUTERS,64.61,mastercard
1,Outdoors,OUTDOORS,16.97,mastercard
2,Grocery,GROCERY,143.39,mastercard
3,Music,MUSIC,37.64,mastercard
4,Jewelry,JEWELRY,8.51,mastercard
5,Grocery,GROCERY,28.42,mastercard
85,Kids,KIDS,139.38,mastercard
86,Shoes,SHOES,123.66,mastercard
87,Books,BOOKS,66.68,mastercard
88,Tools,TOOLS,23.51,mastercard
89,Baby,BABY,81.13,mastercard
90,Clothing,CLOTHING,66.53,mastercard
91,Music,MUSIC,86.24,mastercard
92,Industrial,INDUSTRIAL,45.48,mastercard
93,Outdoors,OUTDOORS,79.53,mastercard
94,Health,HEALTH,92.86,mastercard
95,Electronics,ELECTRONICS,125.29,mastercard
96,Baby,BABY,18.69,mastercard
97,Movies,MOVIES,136.95,mastercard
98,Games,GAMES,114.69,mastercard
99,Clothing,CLOTHING,104.06,mastercard
100,Games,GAMES,146.54,mastercard
101,Sports,SPORTS,148.59,mastercard
102,Games,GAMES,25.12,mastercard
103,Kids,KIDS,33.69,mastercard
104,Electronics,ELECTRONICS,25.48,mastercard
105,Outdoors,OUTDOORS,45.72,mastercard
106,Outdoors,OUTDOORS,97.85,mastercard
107,Tools,TOOLS,11.64,mastercard
108,Music,MUSIC,39.52,mastercard
109,Garden,GARDEN,128.48,mastercard
110,Computers,COMPUTERS,54.2,mastercard
111,Beauty,BEAUTY,3.45,mastercard
112,Jewelry,JEWELRY,99.85,mastercard
113,Music,MUSIC,65.25,mastercard
114,Movies,MOVIES,12.17,mastercard
115,Tools,TOOLS,32.57,mastercard
116,Industrial,INDUSTRIAL,42.22,mastercard
117,Beauty,BEAUTY,125.24,mastercard
118,Beauty,BEAUTY,70.14,mastercard
119,Baby,BABY,134.09,mastercard
120,Health,HEALTH,67.75,mastercard
121,Industrial,INDUSTRIAL,105.17,mastercard
122,Home,HOME,99.16,mastercard
123,Beauty,BEAUTY,96.87,mastercard
124,Toys,TOYS,29.08,mastercard
125,Movies,MOVIES,148.07,mastercard
126,Kids,KIDS,0.51,mastercard
127,Industrial,INDUSTRIAL,63.15,mastercard
128,Music,MUSIC,137.43,mastercard
129,Electronics,ELECTRONICS,100.18,mastercard
112,Kids,KIDS,9.12,mastercard
113,Electronics,ELECTRONICS,8.23,mastercard
114,Home,HOME,19.31,mastercard
115,Automotive,AUTOMOTIVE,130.2,mastercard
116,Baby,BABY,114.29,mastercard
117,Baby,BABY,69.25,mastercard
118,Kids,KIDS,50.04,mastercard
137,Baby,BABY,15.52,mastercard
138,Industrial,INDUSTRIAL,29.28,mastercard
139,Tools,TOOLS,31.04,mastercard
140,Baby,BABY,2.58,mastercard
141,Beauty,BEAUTY,119.12,mastercard
142,Health,HEALTH,138.62,mastercard
143,Games,GAMES,101.05,mastercard
144,Grocery,GROCERY,9.42,mastercard
145,Grocery,GROCERY,64.39,mastercard
146,Toys,TOYS,85.19,mastercard
147,Shoes,SHOES,38.07,mastercard
148,Books,BOOKS,116.73,mastercard
149,Tools,TOOLS,63.01,mastercard
150,Electronics,ELECTRONICS,12.15,mastercard
151,Garden,GARDEN,101.21,mastercard
152,Movies,MOVIES,141.55,mastercard
153,Jewelry,JEWELRY,138.11,mastercard
154,Electronics,ELECTRONICS,107.81,mastercard
155,Beauty,BEAUTY,133.1,mastercard
156,Computers,COMPUTERS,93.13,mastercard
157,Beauty,BEAUTY,59.81,mastercard
158,Clothing,CLOTHING,144.9,mastercard
159,Electronics,ELECTRONICS,83.75,mastercard
160,Toys,TOYS,62.04,mastercard
161,Music,MUSIC,104.63,mastercard
162,Kids,KIDS,24.71,mastercard
163,Beauty,BEAUTY,118.07,mastercard
164,Tools,TOOLS,62.7,mastercard
165,Outdoors,OUTDOORS,1.72,mastercard
166,Electronics,ELECTRONICS,114.02,mastercard
167,Electronics,ELECTRONICS,135.37,mastercard
168,Industrial,INDUSTRIAL,17.52,mastercard
169,Sports,SPORTS,5.84,mastercard
170,Music,MUSIC,138.49,mastercard
171,Books,BOOKS,35.85,mastercard
172,Automotive,AUTOMOTIVE,130.08,mastercard
173,Kids,KIDS,28.38,mastercard
174,Sports,SPORTS,36.35,mastercard
175,Kids,KIDS,141.71,mastercard
176,Home,HOME,15.42,mastercard
177,Beauty,BEAUTY,48.98,mastercard
178,Baby,BABY,143.16,mastercard
179,Games,GAMES,63.4,mastercard
180,Music,MUSIC,40.5,mastercard
181,Sports,SPORTS,22.1,mastercard
182,Tools,TOOLS,139.85,mastercard
183,Movies,MOVIES,56.22,mastercard
184,Beauty,BEAUTY,3.01,mastercard
185,Music,MUSIC,32.31,mastercard
186,Jewelry,JEWELRY,143.78,mastercard
187,Baby,BABY,14.0,mastercard
188,Shoes,SHOES,37.69,mastercard
189,Sports,SPORTS,126.99,mastercard
190,Outdoors,OUTDOORS,90.35,mastercard
191,Outdoors,OUTDOORS,145.23,mastercard
192,Industrial,INDUSTRIAL,76.81,mastercard
193,Garden,GARDEN,139.49,mastercard
194,Music,MUSIC,62.52,mastercard
195,Tools,TOOLS,88.32,mastercard
196,Grocery,GROCERY,0.05,mastercard
197,Music,MUSIC,7.86,mastercard
198,Computers,COMPUTERS,47.01,mastercard
199,Health,HEALTH,78.65,mastercard
200,Shoes,SHOES,131.44,mastercard
201,Kids,KIDS,147.38,mastercard
202,Industrial,INDUSTRIAL,145.48,mastercard
203,Jewelry,JEWELRY,14.46,mastercard
204,Grocery,GROCERY,129.2,mastercard
205,Movies,MOVIES,140.56,mastercard
206,Automotive,AUTOMOTIVE,103.79,mastercard
207,Baby,BABY,22.7,mastercard
208,Shoes,SHOES,33.57,mastercard
209,Toys,TOYS,103.24,mastercard
210,Jewelry,JEWELRY,105.43,mastercard
211,Sports,SPORTS,3.04,mastercard
212,Games,GAMES,118.25,mastercard
213,Automotive,AUTOMOTIVE,17.47,mastercard
214,Electronics,ELECTRONICS,50.17,mastercard
215,Jewelry,JEWELRY,145.37,mastercard
216,Movies,MOVIES,130.62,mastercard
217,Jewelry,JEWELRY,41.55,mastercard
218,Grocery,GROCERY,10.59,mastercard
219,Sports,SPORTS,143.34,mastercard
220,Computers,COMPUTERS,109.29,mastercard
221,Garden,GARDEN,118.94,mastercard
222,Kids,KIDS,51.39,mastercard
223,Kids,KIDS,99.74,mastercard
224,Clothing,CLOTHING,121.61,mastercard
225,Games,GAMES,39.03,mastercard
226,Kids,KIDS,42.28,mastercard
227,Computers,COMPUTERS,56.59,mastercard
228,Kids,KIDS,21.39,mastercard
229,Tools,TOOLS,12.09,mastercard
230,Automotive,AUTOMOTIVE,22.49,mastercard
231,Tools,TOOLS,65.05,mastercard
232,Kids,KIDS,88.78,mastercard
233,Automotive,AUTOMOTIVE,85.21,mastercard
234,Books,BOOKS,42.98,mastercard
235,Kids,KIDS,44.04,mastercard
236,Tools,TOOLS,28.33,mastercard
237,Electronics,ELECTRONICS,68.68,mastercard
238,Shoes,SHOES,35.83,mastercard
130,Kids,KIDS,128.6,mastercard
131,Shoes,SHOES,111.91,mastercard
132,Industrial,INDUSTRIAL,119.73,mastercard
133,Clothing,CLOTHING,113.71,mastercard
134,Outdoors,OUTDOORS,101.06,mastercard
135,Shoes,SHOES,42.24,mastercard
136,Jewelry,JEWELRY,93.71,mastercard
137,Sports,SPORTS,66.49,mastercard
138,Kids,KIDS,34.86,mastercard
139,Sports,SPORTS,138.76,mastercard
140,Sports,SPORTS,4.31,mastercard
141,Industrial,INDUSTRIAL,143.93,mastercard
142,Sports,SPORTS,44.99,mastercard
143,Shoes,SHOES,27.43,mastercard
144,Industrial,INDUSTRIAL,78.48,mastercard
145,Electronics,ELECTRONICS,43.57,mastercard
146,Automotive,AUTOMOTIVE,66.52,mastercard
147,Movies,MOVIES,23.51,mastercard
148,Jewelry,JEWELRY,5.12,mastercard
149,Movies,MOVIES,4.9,mastercard
150,Games,GAMES,102.57,mastercard
151,Shoes,SHOES,112.89,mastercard
152,Home,HOME,91.84,mastercard
153,Beauty,BEAUTY,88.43,mastercard
154,Beauty,BEAUTY,47.89,mastercard
155,Tools,TOOLS,60.42,mastercard
156,Beauty,BEAUTY,134.75,mastercard
157,Outdoors,OUTDOORS,117.02,mastercard
158,Automotive,AUTOMOTIVE,136.0,mastercard
159,Grocery,GROCERY,115.03,mastercard
160,Computers,COMPUTERS,64.25,mastercard
161,Industrial,INDUSTRIAL,1.86,mastercard
162,Books,BOOKS,93.91,mastercard
17,Industrial,INDUSTRIAL,27.87,mastercard
18,Automotive,AUTOMOTIVE,116.19,mastercard
19,Computers,COMPUTERS,3.72,mastercard
20,Kids,KIDS,36.02,mastercard
21,Outdoors,OUTDOORS,31.34,mastercard
22,Home,HOME,72.98,mastercard
23,Sports,SPORTS,72.91,mastercard
24,Beauty,BEAUTY,76.3,mastercard
25,Music,MUSIC,97.94,mastercard
26,Music,MUSIC,77.58,mastercard
27,Baby,BABY,129.78,mastercard
28,Electronics,ELECTRONICS,64.54,mastercard
29,Tools,TOOLS,108.82,mastercard
30,Health,HEALTH,51.88,mastercard
31,Toys,TOYS,68.69,mastercard
32,Kids,KIDS,68.66,mastercard
33,Industrial,INDUSTRIAL,80.97,mastercard
34,Industrial,INDUSTRIAL,24.8,mastercard
35,Movies,MOVIES,67.89,mastercard
36,Industrial,INDUSTRIAL,55.46,mastercard
37,Home,HOME,36.27,mastercard
38,Clothing,CLOTHING,83.07,mastercard
39,Home,HOME,112.25,mastercard
40,Sports,SPORTS,139.0,mastercard
41,Beauty,BEAUTY,85.16,mastercard
42,Automotive,AUTOMOTIVE,84.32,mastercard
43,Shoes,SHOES,35.57,mastercard
44,Home,HOME,29.0,mastercard
45,Automotive,AUTOMOTIVE,4.34,mastercard
46,Garden,GARDEN,132.73,mastercard
47,Home,HOME,78.99,mastercard
48,Grocery,GROCERY,51.27,mastercard
49,Sports,SPORTS,18.23,mastercard
50,Jewelry,JEWELRY,128.95,mastercard
51,Garden,GARDEN,53.74,mastercard
52,Computers,COMPUTERS,66.4,mastercard
53,Games,GAMES,17.67,mastercard
54,Industrial,INDUSTRIAL,13.38,mastercard
55,Baby,BABY,41.92,mastercard
56,Home,HOME,40.89,mastercard
57,Computers,COMPUTERS,113.68,mastercard
58,Music,MUSIC,57.67,mastercard
59,Tools,TOOLS,114.58,mastercard
60,Garden,GARDEN,41.34,mastercard
61,Games,GAMES,7.24,mastercard
62,Grocery,GROCERY,119.74,mastercard
63,Garden,GARDEN,9.11,mastercard
64,Jewelry,JEWELRY,142.25,mastercard
65,Grocery,GROCERY,78.53,mastercard
66,Music,MUSIC,63.78,mastercard
67,Grocery,GROCERY,108.03,mastercard
68,Beauty,BEAUTY,69.2,mastercard
69,Outdoors,OUTDOORS,115.34,mastercard
