feature,importance
alcohol_density_ratio,0.06608047841373657
volatile acidity,0.06313636698269112
alcohol,0.06303280531026163
alcohol_x_sulphates,0.05521875240912448
alcohol_x_volatile_acidity,0.054329788616496726
alcohol_bin_q,0.05327914923158833
citric acid,0.04710886374581462
sqrt_sulphates,0.046616088303299545
acid_ratio,0.04499786358783892
log_total_sulfur_dioxide,0.04475096139756385
sulphates_chlorides_ratio,0.04462770143400099
sulphates,0.043257405685200666
citric_x_fixed_acidity,0.042749166680127966
log_free_sulfur_dioxide,0.04096121603628957
density,0.04049986474623541
total sulfur dioxide,0.03837128924810573
pH,0.037696606118937055
free sulfur dioxide,0.03583899437129624
residual sugar,0.035728574003861285
free_total_sulfur_ratio,0.03551626006851935
fixed acidity,0.03473309862274991
chlorides,0.031468704986260004
