model,evaluation_type,accuracy,precision,recall,f1_score,roc_auc
SVM Baseline LINEAR - Train Test Split - All Features,Train Test Split,0.855,0.8591549295774648,0.7625,0.8079470198675497,0.9238541666666666
SVM Baseline POLY - Train Test Split - All Features,Train Test Split,0.875,0.9104477611940298,0.7625,0.8299319727891157,0.9310416666666668
SVM GridSearch - Train Test Split - All Features,Train Test Split,0.905,0.8860759493670886,0.875,0.8805031446540881,0.9626041666666667
SVM Baseline LINEAR - Train Test Split - Top Features,Train Test Split,0.84,0.8243243243243243,0.7625,0.7922077922077922,0.9227604166666666
SVM Baseline POLY - Train Test Split - Top Features,Train Test Split,0.79,0.9130434782608695,0.525,0.6666666666666666,0.9144270833333333
SVM GridSearch - Train Test Split - Top Features,Train Test Split,0.905,0.8674698795180723,0.9,0.8834355828220859,0.9588020833333333
SVM Baseline LINEAR - Cross Validation - All Features,Cross Validation,0.8210000000000001,0.8344427306927308,0.6967682926829267,0.7557362000962393,0.9159178896238114
SVM Baseline POLY - Cross Validation - All Features,Cross Validation,0.8430000000000002,0.8621694500930637,0.7289634146341463,0.7874190482363673,0.9153536413118368
SVM GridSearch - Cross Validation - All Features,Cross Validation,0.906,0.8709341919303633,0.9029268292682927,0.8851241302742896,0.9589397995039273
SVM Baseline LINEAR - Cross Validation - Top Features,Cross Validation,0.8240000000000001,0.8300894512567238,0.7115853658536585,0.7626201808778597,0.916875895686923
SVM Baseline POLY - Cross Validation - Top Features,Cross Validation,0.8019999999999999,0.906376377134998,0.5647560975609757,0.6935546192609815,0.909844150475403
SVM GridSearch - Cross Validation - Top Features,Cross Validation,0.907,0.8650905903037864,0.9129268292682928,0.8871239440144454,0.9528183994763678
