model,evaluation_type,accuracy,precision,recall,f1_score,roc_auc
XGBoost Baseline - Train Test Split,Train Test Split,0.8212290502793296,0.7761194029850746,0.7536231884057971,0.7647058823529411,0.8438076416337286
XGBoost GridSearch - Train Test Split,Train Test Split,0.8100558659217877,0.7966101694915254,0.6811594202898551,0.734375,0.8484189723320158
SVM Baseline - Train Test Split,Train Test Split,0.8324022346368715,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.8389986824769434
SVM GridSearch - Train Test Split,Train Test Split,0.8268156424581006,0.7878787878787878,0.7536231884057971,0.7703703703703704,0.8412384716732543
Logistic Regression Baseline - Train Test Split,Train Test Split,0.8379888268156425,0.7941176470588235,0.782608695652174,0.7883211678832117,0.8723320158102766
Logistic Regression GridSearch - Train Test Split,Train Test Split,0.8379888268156425,0.7941176470588235,0.782608695652174,0.7883211678832117,0.8723320158102766
Soft Voting Ensemble - Train Test Split,Train Test Split,0.8268156424581006,0.796875,0.7391304347826086,0.7669172932330827,0.8650856389986825
XGBoost Baseline - Cross Validation,Cross Validation,0.8136579275905118,0.7666434654564741,0.7396638655462185,0.7508444755727364,0.8698412981354158
XGBoost GridSearch - Cross Validation,Cross Validation,0.82374531835206,0.8021838765246473,0.722436974789916,0.7568800188057756,0.8739303681068386
SVM Baseline - Cross Validation,Cross Validation,0.8293508114856429,0.8084192814268716,0.7307563025210084,0.7656334261430116,0.8496495770025181
SVM GridSearch - Cross Validation,Cross Validation,0.8293632958801499,0.804765956637324,0.7366386554621849,0.7664281009051886,0.8615895934131229
Logistic Regression Baseline - Cross Validation,Cross Validation,0.823732833957553,0.7832831836709919,0.7513445378151261,0.7650198777363952,0.8710121664827547
Logistic Regression GridSearch - Cross Validation,Cross Validation,0.823732833957553,0.7832831836709919,0.7513445378151261,0.7650198777363952,0.8710121664827547
Soft Voting Ensemble - Cross Validation,Cross Validation,0.8360923845193508,0.8164019894029206,0.7425210084033613,0.7752461591146498,0.8783938262173556
