feature,importance
cat__Title_Mr,0.42938536
cat__Sex_female,0.1690914
num__Pclass,0.09892976
num__FamilySize,0.086713165
num__HasCabin,0.06294979
num__FarePerPerson,0.0489644
num__Age,0.030390995
cat__Embarked_S,0.028740935
num__Fare,0.024814956
num__SibSp,0.020019198
num__Parch,0.0
cat__Embarked_C,0.0
cat__Embarked_Q,0.0
cat__Title_Master,0.0
cat__Sex_male,0.0
cat__Title_Miss,0.0
cat__Title_Mrs,0.0
cat__Title_Rare,0.0
cat__AgeGroup_Adult,0.0
cat__AgeGroup_Child,0.0
cat__AgeGroup_Senior,0.0
cat__AgeGroup_Teen,0.0
cat__AgeGroup_YoungAdult,0.0
